,barcode,cpg_oid,cpg_ref,categoryCode,itemID,brandID
452,511111319634,6000a0c6be37ce2bb793011c,Cogs,BAKING,678c85f1-fce4-5f83-9b2f-885aa640a936,6000a0c6be37ce2bb793011f
453,511111719670,6000b8c3be37ce321363c6bf,Cogs,BAKING,1b2ddb49-c31f-5d7c-9076-78aa6c4ba182,6000b8c3be37ce321363c6c0
454,511111519645,6000a0c6be37ce2bb793011c,Cogs,BAKING,a6799a97-8c50-5239-8708-ebdd8c8f0096,6000a0c6be37ce2bb7930120
455,511111219668,6000a0f3be37ce2bb7930129,Cogs,BAKING,7e0225b4-edea-5860-be56-20ec2e630112,6000a0f3be37ce2bb793012a
456,511111819622,6000a0c6be37ce2bb793011c,Cogs,BAKING,780e5b8c-a549-5ae8-b171-dd4a71aa281e,6000a0c6be37ce2bb793011e
457,511111216865,5332fa12e4b03c9a25efd1e7,Cogs,CANDY_AND_SWEETS,98c18377-a9bc-5fae-9b4c-35a6e5097758,5f7760f2be37ce1d26d7b7a7
458,511111803515,5332f7a7e4b03c9a25efd134,Cpgs,,20a3f718-bbc8-5d86-b2a3-229f7de7d0cc,5332f7ace4b03c9a25efd13a
459,511111506034,5332f5f3e4b03c9a25efd0ae,Cogs,BREAKFAST & CEREAL,a630fa2e-1dfd-5dcb-8322-18f98027d473,5daf5d1aa60b87376833e361
460,511111316831,5f7760f0be37ce1d26d7b7a2,Cogs,BAKING,1cabb41b-b265-5887-868a-a80b72c27bb1,5f7760f0be37ce1d26d7b7a4
461,511111904502,5a734034e4b0d58f376be874,Cogs,SNACKS,ba09e128-8a13-5eab-9f94-17e041594926,5afda26ce4b0c11cfecd49f8
462,511111100782,5332f5f6e4b03c9a25efd0b4,Cogs,GROCERY,c2e9cc19-abfa-5842-92ef-23e1e3a7897a,592486bee410d61fcea3d130
463,511111402527,5332f5f2e4b03c9a25efd0aa,Cpgs,,4ac16561-b7cd-5526-9f34-5571e2a8098b,57c0812de4b0718ff5fcb02e
464,511111500384,5332f709e4b03c9a25efd0f1,Cogs,BEER WINE SPIRITS,11b8f460-18f5-5c0f-ba7d-82f2a8831d05,5a5d1c62e4b0db471c2d0424
465,511111217978,5332fa12e4b03c9a25efd1e7,Cogs,CANDY_AND_SWEETS,a973c06f-3ad5-5710-8964-f70350923436,5fcda494be37ce688e08b0d0
466,511111502210,559c2234e4b06aca36af13c6,Cogs,FROZEN,2e5414e4-68d2-57de-9cbe-2ab77ff992f9,57ebbcc2e4b0ac389136a32c
467,511111004790,55b62995e4b0d8e685c14213,Cogs,BAKING,caee66a4-88eb-5cfe-b73a-b47fc616e10d,5c409ab4cd244a3539b84162
468,511111806011,5332f5f3e4b03c9a25efd0ae,Cogs,BREAKFAST & CEREAL,e36977d7-4693-5ba7-983b-dfcd62b90b92,5daf54ec1dda2c3e1416ae98
469,511111715115,5f19e054be37ce33f74a166e,Cogs,BAKING,318c04da-a783-570e-a926-4447ceb267d0,5f19e054be37ce33f74a166f
470,511111205173,53e10d6368abd3c7065097cc,Cogs,,cc875ebd-557b-5b37-a578-eb4d09f7db35,5d658fc0a3a018514994f430
471,511111901709,5332f5fbe4b03c9a25efd0ba,Cogs,SNACKS,2c7af16e-c8dc-5e73-8f69-d23c70b2b225,585a966be4b03e62d1ce0e7e
472,511111517009,5f872b7fbe37ce66db5dd975,Cogs,BAKING,5fce491d-5cf1-5076-9170-4f77aa295c69,5f872b7fbe37ce66db5dd976
473,511111500223,5332f709e4b03c9a25efd0f1,Cogs,BEER WINE SPIRITS,406c71a8-246f-554b-b8ec-c7c6d55d1c7a,5a5d24c2e4b0db471c2d042b
474,511111303381,5332f5f3e4b03c9a25efd0ae,Cpgs,,a0de5b3d-eb6d-53eb-a60e-255256e4679d,5332f7e0e4b03c9a25efd151
475,511111106159,559c2234e4b06aca36af13c6,Cogs,BEVERAGES,0c3c06a6-a163-5c66-87d2-78f7fc40c91e,5db77d891dda2c3e1416ae9f
476,511111515241,5f10c05cbe37ce238c6cabaf,Cogs,CLEANING_AND_HOME_IMPROVEMENT,223c2539-835d-5fba-b721-5bba83f8b5d0,5f21c852be37ce7958c59529
477,511111304616,53e10d6368abd3c7065097cc,Cogs,BEVERAGES,a14dc568-ec3d-5eac-9a31-03783ebc6479,5bcdfc5a965c7d66d92731e9
478,511111016137,5f494c5d04db711dd8fe87e2,Cogs,BAKING,1667ebb9-1846-59f5-8351-898369792d01,5f494c5e04db711dd8fe87e3
479,511111217022,5f872b7fbe37ce66db5dd975,Cogs,BAKING,63c3237f-4ff9-5e73-82f8-50fbb360e803,5f872b7fbe37ce66db5dd978
480,511111602118,559c2234e4b06aca36af13c6,Cogs,BAKING,65608e60-b4bd-5b72-ab46-7d57e633ec12,57ebc017e4b0ac389136a336
481,511111616740,5332fa12e4b03c9a25efd1e7,Cogs,CANDY_AND_SWEETS,8abd1984-e215-5c09-8f8c-6f55d31942ba,5f77274cbe37ce6b592e90be
482,511111517160,5332fa12e4b03c9a25efd1e7,Cogs,CANDY_AND_SWEETS,3868870c-2b42-573e-83e0-71df15ed7b4a,5f99f71bbe37ce13da9eadeb
483,511111304333,5a734034e4b0d58f376be874,Cogs,SNACKS,24615432-731d-5044-92f9-ca23533b2744,5ab15207e4b0be0a89bb0b04
484,511111703983,5332f5ebe4b03c9a25efd0a8,Cpgs,,d314d5fb-b097-549e-8ffe-16f5fbc2ccc2,5332f5f6e4b03c9a25efd0b2
485,511111615934,5f493682be37ce52f8314fcb,Cogs,BAKING,9400d9c5-b02e-54b7-977c-47f0eb6c63a7,5f493682be37ce52f8314fcf
486,511111816829,5f7760f0be37ce1d26d7b7a2,Cogs,BAKING,bc2cfcd0-c50f-52ed-a27f-66797995b450,5f7760f0be37ce1d26d7b7a3
487,511111801245,5332f5fbe4b03c9a25efd0ba,Cogs,SNACKS,a3b62a39-7efe-5543-bbb9-62cfaeb0d66e,58861c7f4e8d0d20bc42c500
488,511111304777,5332f709e4b03c9a25efd0f1,Cogs,BEER WINE SPIRITS,e7e4bdef-bab3-5610-a6a6-b004eefc1a87,5cc725bd166eb31bbbadccbd
489,511111415572,5332fa12e4b03c9a25efd1e7,Cogs,CANDY_AND_SWEETS,7f406638-98f7-590d-9242-562bc24a5338,5f3e9173be37ce5a0e01b957
490,511111201632,5332f5fbe4b03c9a25efd0ba,Cogs,GROCERY,de7c8075-6b1e-5174-abdf-a014203eef46,585a96b3e4b03e62d1ce0e85
491,511111103868,5332f5ebe4b03c9a25efd0a8,Cpgs,,97429cb7-226b-512a-9c97-e13444758433,5332f6f4e4b03c9a25efd0ed
